planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual,codigo_fuente_excel,descripcion_fuente_excel,regla_generacion
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N16,PR-PLYMP-NOR-N16,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N16,NORIA N-16 PTV Nº 10 <O>,PR-PLYMP-NOR-N16,NORIA N-16 PTV Nº 10 <O>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,PLATAFORMAS VOLCABLES,PR-PLYMP-LGC-PLATAFORMAS VOLC,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,PR-PLYMP-LGC-PLATAFORMAS VOLC,LOGICO PLATAFORMAS VOLCABLES,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,PLAYA DE CAMIONES,PR-PLYMP-LGC-PLAYA DE CAMIONES,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,,,PR-PLYMP-LGC-PLAYA DE CAMIONES,LOGICO PLAYA DE CAMIONES,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CAM1,PR-PLYMP-PLY-CAM1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM1,PLAYA DE CAMIONES Nº 1 <S>,PR-PLYMP-PLY-CAM1,PLAYA DE CAMIONES Nº 1 <S>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CAM2,PR-PLYMP-PLY-CAM2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM2,PLAYA DE CAMIONES Nº 2 <N>,PR-PLYMP-PLY-CAM2,PLAYA DE CAMIONES Nº 2 <N>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CAM3,PR-PLYMP-PLY-CAM3,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM3,PLAYA DE CAMIONES Nº 3,PR-PLYMP-PLY-CAM3,PLAYA DE CAMIONES Nº 3,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CAM4,PR-PLYMP-PLY-CAM4,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM4,PLAYA DE CAMIONES Nº 4,PR-PLYMP-PLY-CAM4,PLAYA DE CAMIONES Nº 4,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CAM5,PR-PLYMP-PLY-CAM5,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM5,PLAYA DE CAMIONES Nº 5 <AO12>,PR-PLYMP-PLY-CAM5,PLAYA DE CAMIONES Nº 5 <AO12>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,PRELIMPIADORES PLYMP,PR-PLYMP-LGC-PRELIMPIADORES,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIADORES,,,PR-PLYMP-LGC-PRELIMPIADORES,LOGICO PRELIMPIADORES PLYMP,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,PRELIMPIEZA PLYMP,PR-PLYMP-LGC-PRELIMPIEZA,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,,,PR-PLYMP-LGC-PRELIMPIEZA,LOGICO PRELIMPIEZA PLYMP,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CR1,PR-PLYMP-CRB-CR1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-CRB-CR1,CRIBA DE PRELIMPIEZA COLZA-CAMELINA 1,PR-PLYMP-CRB-CR1,CRIBA DE PRELIMPIEZA COLZA-CAMELINA 1,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,TSS5,PR-PLYMP-RDL-TSS5,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-RDL-TSS5,REDLER DE PRELIMPIEZA COLZA-CAMELINA,PR-PLYMP-RDL-TSS5,REDLER DE PRELIMPIEZA COLZA-CAMELINA,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SF01PRL1,PR-PLYMP-RSC-SF01PRL1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-RSC-SF01PRL1,ROSCA 1 DE PRELIMPIEZA COLZA-CAMELINA <DE ZARANDAS A SF02PRL1>,PR-PLYMP-RSC-SF01PRL1,ROSCA 1 DE PRELIMPIEZA COLZA-CAMELINA <DE ZARANDAS A SF02PRL1>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SF02PRL1,PR-PLYMP-RSC-SF02PRL1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-RSC-SF02PRL1,ROSCA 2 DE PRELIMPIEZA COLZA-CAMELINA <DE SF01PRL1 A CASILLA DE FINOS>,PR-PLYMP-RSC-SF02PRL1,ROSCA 2 DE PRELIMPIEZA COLZA-CAMELINA <DE SF01PRL1 A CASILLA DE FINOS>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RM1,PR-PLYMP-VLV-RM1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-VLV-RM1,VALVULA MOTORIZADA 1 DE PRELIMPIEZA COLZA-CAMELINA <SUR>,PR-PLYMP-VLV-RM1,VALVULA MOTORIZADA 1 DE PRELIMPIEZA COLZA-CAMELINA <SUR>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RM2,PR-PLYMP-VLV-RM2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-VLV-RM2,VALVULA MOTORIZADA 2 DE PRELIMPIEZA COLZA-CAMELINA <NORTE>,PR-PLYMP-VLV-RM2,VALVULA MOTORIZADA 2 DE PRELIMPIEZA COLZA-CAMELINA <NORTE>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RM3,PR-PLYMP-VLV-RM3,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-VLV-RM3,VALVULA MOTORIZADA 3 DE PRELIMPIEZA COLZA-CAMELINA <N10> <SUR>,PR-PLYMP-VLV-RM3,VALVULA MOTORIZADA 3 DE PRELIMPIEZA COLZA-CAMELINA <N10> <SUR>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RM4,PR-PLYMP-VLV-RM4,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-VLV-RM4,VALVULA MOTORIZADA 4 DE PRELIMPIEZA COLZA-CAMELINA <N10A> <NORTE>,PR-PLYMP-VLV-RM4,VALVULA MOTORIZADA 4 DE PRELIMPIEZA COLZA-CAMELINA <N10A> <NORTE>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,ZD1,PR-PLYMP-ZRN-ZD1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-ZRN-ZD1,ZARANDA 1 DE PRELIMPIEZA COLZA-CAMELINA <SUR>,PR-PLYMP-ZRN-ZD1,ZARANDA 1 DE PRELIMPIEZA COLZA-CAMELINA <SUR>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,ZD2,PR-PLYMP-ZRN-ZD2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PRELIMPIEZA,PR-PLYMP-ZRN-ZD2,ZARANDA 2 DE PRELIMPIEZA COLZA-CAMELINA <NORTE>,PR-PLYMP-ZRN-ZD2,ZARANDA 2 DE PRELIMPIEZA COLZA-CAMELINA <NORTE>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,REDLERS PLYMP,PR-PLYMP-LGC-REDLERS,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,,,PR-PLYMP-LGC-REDLERS,LOGICO REDLERS PLYMP,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,R15,PR-PLYMP-RDL-R15,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-R15,REDLER R15,PR-PLYMP-RDL-R15,REDLER R15,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RCRU2,PR-PLYMP-RDL-RCRU2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RCRU2,REDLER RCR 2 CRUCERO L/OESTE,PR-PLYMP-RDL-RCRU2,REDLER RCR 2 CRUCERO L/OESTE,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RNOR1,PR-PLYMP-RDL-RNOR1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RNOR1,REDLER RNO 1 NORTE,PR-PLYMP-RDL-RNOR1,REDLER RNO 1 NORTE,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RNOR2,PR-PLYMP-RDL-RNOR2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RNOR2,REDLER RNO 2 NORTE,PR-PLYMP-RDL-RNOR2,REDLER RNO 2 NORTE,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RPTV4,PR-PLYMP-RDL-RPTV4,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RPTV4,REDLER 201 PTV-4,PR-PLYMP-RDL-RPTV4,REDLER 201 PTV-4,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RSG1CRU,PR-PLYMP-RDL-RSG1CRU,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RSG1CRU,REDLER RSG-1 CRUCERO,PR-PLYMP-RDL-RSG1CRU,REDLER RSG-1 CRUCERO,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RSG2,PR-PLYMP-RDL-RSG2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RSG2,REDLER RSG-2,PR-PLYMP-RDL-RSG2,REDLER RSG-2,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RSINF1,PR-PLYMP-RDL-RSINF1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RSINF1,REDLER RSI 1 SUR INF.,PR-PLYMP-RDL-RSINF1,REDLER RSI 1 SUR INF.,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RSINF2,PR-PLYMP-RDL-RSINF2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RSINF2,REDLER RSI 2 SUR INF.,PR-PLYMP-RDL-RSINF2,REDLER RSI 2 SUR INF.,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,RSSUP1,PR-PLYMP-RDL-RSSUP1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-RSSUP1,REDLER RSS 1 SUR SUP.,PR-PLYMP-RDL-RSSUP1,REDLER RSS 1 SUR SUP.,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCH01,PR-PLYMP-RDL-SCH01,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-SCH01,REDLER SUPERIOR SCH-01 <EMPALME DE SILO KEPLER 10>,PR-PLYMP-RDL-SCH01,REDLER SUPERIOR SCH-01 <EMPALME DE SILO KEPLER 10>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCH02,PR-PLYMP-RDL-SCH02,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-SCH02,REDLER SUPERIOR SCH-02 <DESDE NORIA N13SCH A SVCHF01>,PR-PLYMP-RDL-SCH02,REDLER SUPERIOR SCH-02 <DESDE NORIA N13SCH A SVCHF01>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCH03,PR-PLYMP-RDL-SCH03,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-SCH03,REDLER SUPERIOR SCH-03 <DESDE SVCHF01 A SVCHF02>,PR-PLYMP-RDL-SCH03,REDLER SUPERIOR SCH-03 <DESDE SVCHF01 A SVCHF02>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCH04,PR-PLYMP-RDL-SCH04,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-SCH04,REDLER SUPERIOR SCH-04 <DESDE SVCHF02 A SVCHF03>,PR-PLYMP-RDL-SCH04,REDLER SUPERIOR SCH-04 <DESDE SVCHF02 A SVCHF03>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCH05,PR-PLYMP-RDL-SCH05,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-SCH05,REDLER INFERIOR SCH-05 <DESDE SVCHF03 A SVCHF01>,PR-PLYMP-RDL-SCH05,REDLER INFERIOR SCH-05 <DESDE SVCHF03 A SVCHF01>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCH06,PR-PLYMP-RDL-SCH06,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-REDLERS,PR-PLYMP-RDL-SCH06,REDLER INFERIOR SCH-06 <DESDE SVCHF01 A NORIA N14SCH>,PR-PLYMP-RDL-SCH06,REDLER INFERIOR SCH-06 <DESDE SVCHF01 A NORIA N14SCH>,UNIDAD_HOJA_BAJO_SUBSECTOR
